Gender,Event,Location,Year,Gold,Silver,Bronze,Name,Nationality,Result
M,10000M,Rome,1960,,,B,David POWER,AUS,0:28:38
M,10000M,Tokyo,1964,,,B,Ron CLARKE,AUS,0:28:26
M,10000M,Melbourne / Stockholm,1956,,,B,Allan LAWRENCE,AUS,0:28:54
M,10000M,Munich,1972,,S,,Emiel PUTTEMANS,BEL,0:27:40
W,10000M,Atlanta,1996,,S,,Junxia WANG,CHN,0:31:03
W,10000M,Athens,2004,G,,,Huina XING,CHN,0:30:24
M,10000M,Athens,2004,,,B,Zersenay TADESE,ERI,0:27:23
M,10000M,Beijing,2008,,S,,Sileshi SIHINE,ETH,0:27:03
M,10000M,Mexico,1968,,S,,Mamo WOLDE,ETH,0:29:28
M,10000M,Athens,2004,,S,,Sileshi SIHINE,ETH,0:27:09
W,10000M,Sydney,2000,,S,,Gete WAMI,ETH,0:30:22
W,10000M,Athens,2004,,S,,Ejegayehu DIBABA,ETH,0:30:25
M,10000M,Beijing,2008,G,,,Kenenisa BEKELE,ETH,0:27:01
M,10000M,Sydney,2000,G,,,Haile GEBRSELASSIE,ETH,0:27:18
M,10000M,Athens,2004,G,,,Kenenisa BEKELE,ETH,0:27:05
M,10000M,Atlanta,1996,G,,,Haile GEBRSELASSIE,ETH,0:27:07
M,10000M,Moscow,1980,G,,,Miruts YIFTER,ETH,0:27:43
W,10000M,Rio,2016,G,,,Almaz AYANA,ETH,0:29:17
W,10000M,Beijing,2008,G,,,Tirunesh DIBABA,ETH,0:29:55
W,10000M,Sydney,2000,G,,,Derartu TULU,ETH,0:30:18
W,10000M,Barcelona,1992,G,,,Derartu TULU,ETH,0:31:06
W,10000M,London,2012,G,,,Tirunesh DIBABA,ETH,0:30:21
M,10000M,Rio,2016,,,B,Tamirat TOLA,ETH,0:27:06
M,10000M,Sydney,2000,,,B,Assefa MEZGEBU,ETH,0:27:20
M,10000M,Barcelona,1992,,,B,Addis ABEBE,ETH,0:28:00
M,10000M,London,2012,,,B,Tariku BEKELE,ETH,0:27:31
M,10000M,Moscow,1980,,,B,Mohammed KEDIR,ETH,0:27:45
M,10000M,Munich,1972,,,B,Miruts YIFTER,ETH,0:27:41
W,10000M,Rio,2016,,,B,Tirunesh DIBABA,ETH,0:29:43
W,10000M,Athens,2004,,,B,Derartu TULU,ETH,0:30:26
W,10000M,Atlanta,1996,,,B,Gete WAMI,ETH,0:31:07
M,10000M,Rome,1960,,S,,Hans GRODOTZKI,EUA,0:28:37
M,10000M,Berlin,1936,,S,,Arvo ASKOLA,FIN,0:30:16
M,10000M,Amsterdam,1928,,S,,Ville RITOLA,FIN,0:30:19
M,10000M,Moscow,1980,,S,,Kaarlo MAANINKA,FIN,0:27:44
M,10000M,Los Angeles,1932,,S,,Volmari ISO-HOLLO,FIN,0:30:13
M,10000M,Montreal,1976,G,,,Lasse VIREN,FIN,0:27:40
M,10000M,Berlin,1936,G,,,Ilmari SALMINEN,FIN,0:30:15
M,10000M,Amsterdam,1928,G,,,Paavo NURMI,FIN,0:30:19
M,10000M,Antwerp,1920,G,,,Paavo NURMI,FIN,0:31:46
M,10000M,Munich,1972,G,,,Lasse VIREN,FIN,0:27:38
M,10000M,Paris,1924,G,,,Ville RITOLA,FIN,0:30:23
M,10000M,Stockholm,1912,G,,,Hannes KOLEHMAINEN,FIN,0:31:21
M,10000M,Berlin,1936,,,B,Volmari ISO-HOLLO,FIN,0:30:20
M,10000M,Los Angeles,1932,,,B,Lauri VIRTANEN,FIN,0:30:35
M,10000M,Paris,1924,,,B,Eero BERG,FIN,0:31:43
M,10000M,Stockholm,1912,,,B,Albin STENROOS,FIN,0:32:22
M,10000M,Helsinki,1952,,S,,Alain MIMOUN,FRA,0:29:33
M,10000M,Antwerp,1920,,S,,Joseph GUILLEMOT,FRA,0:31:47
M,10000M,London,1948,,S,,Alain MIMOUN,FRA,0:30:47
M,10000M,Los Angeles,1984,,S,,Michael MCLEOD,GBR,0:28:06
M,10000M,Rio,2016,G,S,,Mohamed FARAH,GBR,0:25:05
M,10000M,London,2012,G,,,Mohamed FARAH,GBR,0:27:30
M,10000M,Montreal,1976,,,B,Brendan FOSTER,GBR,0:27:55
M,10000M,Antwerp,1920,,,B,James WILSON,GBR,0:31:51
